"s151" "s95.Healthy_lessthan5.Feces.Baseline" "s.285.Healthylessthan5.Stool.visit1.2301" "s.293.Healthy.Antibiotics.Feces.Baseline" "s20.C_diff.Feces.Visit1" "s.314.HealthyAntibiotics.Stool.1.2490" "s.308.IBDC.Diff.Stool.visit2.2500" "s.316.IBDC.Diff.Stool.visit2.2544" "s.327.HealthyAntibiotics.Stool.1.2555" "s.334.HealthyAntibiotics.Stool.1.2630" "s.74.Healthy_greaterthan5.Feces.Baseline" "s.85.Healthy_greaterthan5.Feces.Baseline" "s.86.Healthy_greaterthan5.Feces.Baseline" "s.339.IBDC.Diff.Stool.1.2648" "s099.IBD_C.Diff.Feces.Baseline" "s.344.Healthy.Antibiotics.Stool.1.2655" "s53.VEO.Feces.Week_8" "s119.IBD_C.Diff.Feces.Baseline" "s.91.Healthy.greaterthan5.Feces.Baseline" "s.135.Healthy_Antibiotics.Feces.Baseline" "s152.Healthy_Antibiotics.Feces.Baseline" "s.155.Healthy_Antibiotics.Feces.Baseline" "s159.Healthy_Antibiotics.Feces.Baseline" "s.200.Healthy_Antibiotics.Feces.Baseline" "s.197.Healthy_Antibiotics.Feces.Baseline" "s.204.Healthy_Antibiotics.Feces.Baseline" "s.209.Healthy_Antibiotics.Feces.Baseline" "s.214.Healthy_Antibiotics.Feces.Baseline" "s26.Healthy.Feces.Visit1" "s.252.Healthy_Antibiotics.Feces.Baseline" "s.259.Healthy_Antibiotics.Feces.Baseline" "s.265.IBD_C.Diff.Feces.Baseline" "s.175.VEO.Feces.Baseline" "s.233.Healthy_Antibiotics.Feces.Baseline" "s077.IBD_C.Diff.Feces.Baseline" "s.353.Healthygreaterthan5.Stool.1.2756" "s.357.IBDC.Diff.Stool.1.2836" "s.222.IBD_CDiff.Feces.Baseline" "s.190.Healthy_Antibiotics.Feces.Baseline" "s157.IBD_CDiff.Feces.Baseline" "s067.Healthy_Antibiotics.Feces.Baseline" "s22.Healthy.Feces.Visit1" "s70.Healthy_greaterthan5.Feces.Baseline" "s.84.Healthy_greaterthan5.Feces.Baseline" "s.75.Healthy_greaterthan5.Feces.Baseline" "s46.Healthy_greaterthan5.Feces.Baseline" "s60.Healthy_greaterthan5.Feces.Baseline" "s.109.Healthy.greaterthan5.Stool.1.910" "s58.Healthy_greaterthan5.Feces.Baseline" "s115.Healthy_greaterthan5.Feces.Baseline"
"p__Proteobacteria g__Desulfovibrio s__sp. G11" 0 2.02443629571346e-06 1.85013457673341e-06 1.61706543050998e-06 0 1.74341097194387e-06 0 0 3.50697906368569e-07 0 2.60850284978936e-06 8.98608773896254e-07 2.13639657787249e-06 0 2.58298951590385e-07 5.11950590624598e-07 0 0 5.5702331198263e-06 6.16373278122724e-07 5.4746860780786e-07 0 3.43254533534252e-07 3.36841424488911e-07 2.82228185250818e-06 1.42151024565356e-06 5.0855060534723e-06 2.30911152315923e-06 1.25588255388238e-06 2.79102440901132e-06 0 0 0 5.74460529339266e-06 0 4.71346332716044e-06 0 0 2.74802355276027e-07 0 3.12792891443726e-06 6.25990202684246e-06 4.80257503400935e-06 0.000108248123450592 5.32481888220219e-06 4.72959934618019e-07 3.48751556615207e-06 1.71911308205516e-07 5.72081750482144e-05 2.01368946371221e-07
"p__Deinococcus-Thermus g__Deinococcus s__" 5.42738543630589e-07 1.61954903657077e-05 6.37268576430396e-06 1.77877197356098e-05 3.45663973829089e-07 1.16227398129591e-05 0 0 2.80558325094855e-06 3.02434964385259e-06 3.6953790372016e-05 2.51610456690951e-05 2.13639657787249e-05 0 1.8080926611327e-06 3.58365413437218e-06 2.08716560128458e-06 9.8039143598669e-07 1.39255827995657e-05 5.85554614216588e-06 3.28481164684716e-06 1.03920029795951e-06 8.92461787189054e-06 1.98736440448457e-05 2.57141235450745e-05 7.58138797681896e-06 3.29062156401149e-06 6.15763072842463e-06 1.00470604310591e-05 4.07918952086269e-06 3.24705311890276e-06 1.07283014738541e-06 0 3.48157896569252e-06 1.85536914206172e-05 2.40910347832645e-05 9.06366864677614e-07 1.75254502397701e-06 5.22124475024451e-06 2.56194602492115e-06 2.87769460128228e-06 4.55265601952179e-06 5.33619448223261e-07 4.81576297240824e-05 4.93038785389091e-06 1.01686385942874e-05 8.46968066065502e-06 2.75058093128825e-06 0.000168874132113479 9.26297153307616e-06
"p__Bacteroidetes g__Alistipes s__shahii" 0.00102338779786984 0.0164019828678704 0.00125500795455083 0.022579623628021 0.00144936904226537 0.0150442807015641 2.02572758437472e-05 5.78152150567008e-07 0.0119051418274938 0.00123801752671106 0.0758852606546472 0.0249792271605101 0.0184266578615477 3.00996297745538e-05 0.00184141322588786 0.0138807723389 0.000492802989192193 0.00211494942528229 0.0126733943942288 0.0317811307799248 0.00405975346119919 0.00754500984330522 0.0148138359037377 0.0212344833997809 0.0699129388765876 0.0241078660927872 0.00390297632233254 0.00117764687681121 0.0151369012454336 0.0036732028164442 0.00093028071856564 0.000594347901651515 0.000225709947726947 0.000127077632247777 1.49676838351197e-05 0.0279995433177754 0.000719655290554026 0.000867509786868618 0.0238215169694576 0.0121930331171783 0.0144225048730005 0.0301795567534099 0.00978711429986282 0.131892667297688 0.00552045667224458 0.00919434112897428 0.00595543104571411 0.00576762439029506 0.0122959070851225 0.00734009946417737
"p__Firmicutes g__Veillonella s__parvula" 0.000342685116448354 0.00112929804695882 0.00456818784046331 0.000102953165742469 0.00219773154560535 0.000779498416789125 0.0445525020056813 0.166515768955369 0.000537269192556647 0.000922124206410654 0.000190855458509588 0.000168339376976565 0.000189427163238027 0.0334105890497547 0.0153982337001092 0.000215275223357643 0.0629985426945957 0.00185931235834876 0.00105667322283105 7.79712196825246e-05 0.00459565679466711 2.68113676873553e-05 0.000303437007644278 0.000122610278513963 5.17418339626499e-05 3.1983980527205e-05 1.49573707455068e-05 6.9273345694777e-05 0.00154749848289388 4.37976138029468e-05 3.64391516676865e-05 0.0026906580096426 0.00628647175092243 0.00112559447960839 0.00739746590876136 0.000145069926847049 0.00812920440929352 0.000868824195636601 0.000213796232404749 0.0167884323013083 0.000299530472846512 0.00020316227487116 4.18001901108221e-05 0.00189647302895723 5.44314819069557e-05 0.000559748082620425 0.00188749324605244 2.11450909092784e-05 0.000636991026017618 0.00180285617686154
"p__Firmicutes g__Veillonella s__rodentium" 0.000244123796925039 3.23909807314153e-05 8.05836393421661e-05 1.53621215898448e-05 2.59247980371817e-05 1.80152467100866e-05 0.00178475040715014 0.00330833114358206 1.26251246292685e-05 3.0999583849489e-05 3.56495389471213e-05 2.24652193474063e-05 2.68236459221768e-05 0.00135448333985492 0.000262173435864241 9.98303651717965e-06 0.000517617069118576 2.37744923226772e-05 0.000577076151214004 1.47929586749454e-05 7.99304167399476e-05 2.49408071510282e-06 3.12361625516169e-05 9.7684013101784e-06 2.13239073300618e-05 5.92295935688981e-06 3.14104785655642e-06 5.38792688737155e-06 7.30923646359548e-05 8.58776741234251e-06 2.52548575914659e-06 0.000146977730191801 0.000383464212267286 1.89746053630242e-05 0.000157160680268757 2.40910347832645e-05 0.000316322035772487 2.67263116156493e-05 9.89288478993696e-06 0.000416865217483598 7.63214655122691e-06 2.50396081073698e-05 3.37958983874732e-06 0.000144046715457875 4.93038785389091e-06 3.80732747367505e-05 0.00010113795141841 8.76747671848131e-06 2.5853694492943e-05 3.42327208831075e-05
"p__Proteobacteria g__Haemophilus s__sp. oral taxon 036" 1.07462231638857e-05 2.02443629571346e-06 9.6618139007189e-06 1.34755452542498e-06 1.03699192148727e-06 1.16227398129591e-05 0.000774418774443252 0.00113288913903605 2.2795363913957e-06 2.11704475069681e-06 3.91275427468405e-06 5.39165264337752e-06 7.59607672132439e-06 0.000722391114589291 0.000250291684091083 3.32767883905988e-06 0.000338120827408102 7.35293576990017e-07 1.16974895516352e-05 1.54093319530681e-06 0 2.07840059591902e-07 7.89485427128779e-06 8.08419418773385e-06 4.07662934251181e-06 0 0 0 1.02982369418356e-05 8.58776741234251e-07 1.26274287957329e-06 1.93109426529373e-05 0.000206579566325675 0 7.17201517099487e-05 4.71346332716044e-06 0.000837482982962116 0.000148090054526057 2.19841884220821e-06 0.000484573790999371 1.00093725261992e-06 6.82898402928268e-06 1.77873149407754e-07 4.00603291510066e-05 0 0.000105470065419818 6.47681462285384e-06 5.15733924616548e-07 1.87026726119162e-05 3.02053419556831e-06
"p__Firmicutes g__Heliobacterium s__modesticaldum" 1.30257250471341e-06 2.6317671844275e-05 1.2334230511556e-05 3.80010376169846e-05 6.91327947658178e-07 2.16957809841904e-05 0 8.67228225850512e-07 7.8907028932928e-06 3.6292195726231e-06 0.000107383367316329 8.23724709404899e-05 5.03240082787741e-05 0 9.29876225725387e-06 1.74063200812363e-05 1.50739737870553e-05 2.94117430796007e-06 2.61800956631836e-05 2.37303712077249e-05 8.41732984504585e-06 7.27440208571657e-06 2.81468717498086e-05 2.82946796570685e-05 0.00012073094591285 2.08488169362521e-05 7.77783278766352e-06 1.79597562912385e-05 3.81788296380245e-05 1.43845104156737e-05 7.75684911737881e-06 5.36415073692703e-06 6.85267393478396e-06 8.18171056937742e-06 1.52795105816847e-05 9.00795213635107e-05 9.06366864677614e-07 4.81949881593677e-06 1.75873507376657e-05 6.58786120694009e-06 1.00093725261992e-05 1.87797060805274e-05 4.09108243637833e-06 9.63152594481647e-05 1.65661031890735e-05 2.5539836469373e-05 9.96433018900591e-06 1.16899689579751e-05 0.000366902430357298 2.17478462080918e-05
"p__Cyanobacteria g__Cyanobium s__gracile" 0 1.07969935771384e-05 6.57825627282989e-06 1.29365234440799e-05 0 5.42394524604759e-06 0 0 2.63023429776427e-06 1.05852237534841e-06 2.82587808727181e-05 1.49768128982709e-05 1.13941150819866e-05 0 2.58298951590385e-07 4.60755531562138e-06 6.9572186709486e-07 4.90195717993345e-07 2.39520024152531e-05 9.24559917184086e-06 3.21637807087118e-06 4.15680119183804e-07 3.08929080180826e-06 1.31368155550675e-05 4.73516177476372e-05 7.58138797681896e-06 1.79488448946081e-06 7.1839025164954e-06 1.25588255388239e-05 8.58776741234251e-07 7.21567359756168e-07 1.07283014738541e-06 0 1.74078948284626e-06 7.79566866412486e-07 1.30929536865568e-05 1.81273372935523e-06 3.50509004795401e-06 3.02282590803629e-06 1.09797686782335e-06 2.6274602881273e-06 1.47961320634458e-05 1.77873149407754e-06 2.72751177198342e-05 3.54987925480146e-06 3.78367947694415e-06 9.9643301890059e-07 3.43822616411032e-06 0.000146870987864166 6.44380628387907e-06
"p__Proteobacteria g__Aggregatibacter s__aphrophilus" 1.845311048344e-05 1.34962419714231e-06 1.48010766138673e-05 2.96461995593497e-06 2.76531179063271e-06 1.85963837007346e-05 0.000390374586572212 0.000746394426382008 3.3316301105014e-06 1.66339230411892e-06 9.56451044922767e-06 5.0921163854121e-06 1.21062472746108e-05 0.000933088523011167 0.000389514818998301 5.88743179218287e-06 0.000427405133685276 9.06862078287688e-06 1.72677226714615e-05 2.4654931124909e-06 6.84335759759826e-08 4.15680119183804e-07 5.49207253654803e-06 1.48210226775121e-05 3.13586872500909e-06 9.4767349710237e-07 1.04701595218547e-06 2.30911152315923e-06 1.08005899633885e-05 4.29388370617126e-07 5.41175519817126e-07 1.60924522107811e-05 0.000209863139252759 1.04447368970776e-06 7.34351988160562e-05 9.95064480178315e-06 0.00122359526731478 0.000196723178941419 6.59525652662464e-06 0.000114189594253628 6.00562351571953e-06 4.55265601952179e-06 1.24511204585427e-06 7.5858921158289e-05 1.97215514155637e-07 7.7092469342737e-05 1.02134384437311e-05 1.0314678492331e-06 1.87026726119162e-05 3.02053419556831e-06
"p__Firmicutes g__Lachnoclostridium s__sp. YL32" 0.00664615910988274 0.000870170201107502 0.00231739634261285 0.00094167110236698 0.00988668097945961 0.000407958167434865 4.22026580078066e-07 0.00178533384095092 0.000309841600276631 0.000490700729715082 0.00116860927670563 0.00116968908735496 0.00114534594313719 0.00373235409204467 0.00161436844743991 0.00101443009532264 0.000714042542928358 0.0893683166409437 0.000638348715532094 0.000550729524002654 0.000243281362594618 0.0002207261432866 0.000785709627259902 0.00064606185216973 0.000715291656174573 0.00144543900145539 0.000493742808309178 0.00448326830618716 0.0020106679687657 0.000681654038354687 0.000316046503573202 0.0444312605539666 0.00659298614546371 0.00551621371324323 0.107076003715728 0.000902890086224956 0.00770230561603037 0.0198843758420431 0.00146112412300263 0.0259129860652096 0.00119987353157813 0.000546887804345055 0.00183209343889986 0.00111401808936948 0.00302252496994929 0.000946865789105273 0.000390850851663757 0.000849069951227043 0.00272233902224628 0.000620014985876989
