"s151" "s14.IBD_Natural_History.Feces.Visit1" "s25.IBD_Therapy.Feces.Baseline" "s.277.IBDTherapy.Feces.Baseline" "s47" "s.173.VEO.Feces.Baseline" "s.288.IBD.Therapy.Feces.Baseline" "s20.C_diff.Feces.Visit1" "s40.IBD_Therapy.Feces.Baseline" "s.304.VEO.Stool.visit1.2442" "s31.IBD_Natural_History.Feces.Visit1" "s30.IBD_Natural_History.Feces.Visit1" "s38.IBD_Antibiotics.Feces.Baseline" "s.308.IBDC.Diff.Stool.visit2.2500" "s.316.IBDC.Diff.Stool.visit2.2544" "s55.IBD_Therapy.Feces.Baseline" "s065.IBD_Antibiotics.Feces.Baseline" "s.339.IBDC.Diff.Stool.1.2648" "s097.IBD_Antibiotics.Feces.Baseline" "s099.IBD_C.Diff.Feces.Baseline" "s53.VEO.Feces.Week_8" "s102.IBD_Therapy.Feces.Baseline" "s119.IBD_C.Diff.Feces.Baseline" "s.351.IBDAntibiotics.Stool.1.2748" "s.349.IBDAntibiotics.Stool.1.2663" "s.347.IBDTherapy.Stool.1.2668" "s.346.IBDAntibiotics.Stool.1.2659" "s.355.IBDAntibiotics.Stool.1.2765" "s.358.IBDTherapy.Stool.1.2766" "s.212.IBD.Feces.Baseline" "s.225.IBD_Therapy.Feces.Baseline" "s.261.IBD_Therapy.Feces.Baseline" "s.265.IBD_C.Diff.Feces.Baseline" "s143.VEO.Feces.Baseline" "s.175.VEO.Feces.Baseline" "s.154.VEO.Feces.Baseline" "s077.IBD_C.Diff.Feces.Baseline" "s.357.IBDC.Diff.Stool.1.2836" "s.222.IBD_CDiff.Feces.Baseline" "s157.IBD_CDiff.Feces.Baseline" "s078.IBD_Therapy.Feces.Baseline"
"p__Proteobacteria g__Neisseria s__elongata" 2.38913361218866e-06 7.56085352963325e-07 2.84941416044861e-06 1.92255561472755e-06 5.04071441832463e-06 1.40138560157427e-05 1.22618202721241e-05 8.29602140096987e-06 6.82052698622272e-06 3.94962724405477e-07 1.93104043932223e-06 5.61862461688003e-07 1.79845009570752e-06 4.84988345519193e-05 1.79110669304793e-05 5.72507429874201e-06 1.22524694852247e-06 0.0004213314072469 1.67341088439988e-05 4.64822972171049e-06 1.73966171234206e-05 3.95330618290498e-06 2.20655459494155e-06 5.46250183676624e-07 3.02589561467035e-06 2.43340145235132e-07 1.25991211628407e-05 1.84721784363178e-06 6.34028107371754e-06 4.98141103448963e-07 3.6737319427604e-05 3.61810645192803e-06 1.93227380319791e-05 1.45079305624065e-05 1.65600825491563e-05 2.08141621409355e-06 1.85604513901778e-05 4.80351798781538e-05 2.54209133471191e-05 1.24483166031619e-05 6.4462174885021e-06
"p__Firmicutes g__Clostridioides s__difficile" 0.00076734627744205 0.00122107784503577 0.00210832902755194 0.00148594323462292 0.00132876071906146 0.00138349949586997 0.000375456936732441 0.00423477325763675 0.000288257008944044 0.003172538083787 0.00250227731109992 0.00164794260013091 0.00478747415477342 0.00818238598240294 0.00414670088258227 0.00241343687660302 0.00295958400415604 0.0340676537859636 0.00388097452310021 0.00527599896912594 0.00467992196109513 0.000481315027768682 0.00518687433450926 0.000409687637757468 0.00517529013295785 0.00042292517241866 0.000432731353785261 0.00200484709962169 0.0015189501943749 0.00584850864855979 0.00140475662685066 0.00217568801309272 0.00542324847430881 0.00487554393748753 0.00161203838056098 1.59575243080505e-05 0.0280722928021946 0.0038591282249279 0.00277263272127371 0.0147940920289401 0.00128193778454678
"p__Proteobacteria g__Pasteurella s__multocida" 2.48687089632366e-05 7.56085352963325e-06 6.88608422108415e-06 3.65285566798234e-06 2.10148094059731e-05 4.16727823626034e-05 2.50141133551332e-05 6.91335116747489e-07 3.58975104538038e-06 1.57985089762191e-06 1.15862426359334e-05 6.74234954025604e-06 4.79586692188672e-06 0.000144653045663551 0.000247721611175581 5.08895493221512e-06 5.28898266112202e-05 9.02853015529072e-05 8.76867303425539e-05 4.64822972171049e-05 6.93545135987037e-05 6.91828582008372e-06 2.2555891414958e-05 1.82083394558875e-07 6.9595599137418e-05 6.93519413920127e-06 0.000108061693050519 5.54165353089533e-06 8.15178995192256e-06 8.80049282759835e-06 7.8468060913329e-06 9.64828387180808e-06 1.39553108008738e-05 0.000356543384427627 3.9687094385047e-05 2.25486756526801e-05 3.02582148713823e-05 0.000239269575242124 3.46250371452139e-05 2.96562836722387e-05 2.6644365619142e-05
"p__Proteobacteria g__Actinobacillus s__porcitonsillarum" 1.62895473558318e-06 0 3.56176770056076e-06 5.76766684418264e-07 1.27792759901188e-06 2.6921354977611e-05 2.20712764898234e-06 6.91335116747489e-07 1.79487552269019e-06 0 1.57994217762728e-06 1.12372492337601e-06 5.9948336523584e-07 3.96425256337427e-05 6.34109546974228e-05 3.18059683263445e-06 8.98514428916481e-06 3.00951005176357e-05 1.8965323356532e-05 1.44611591342104e-05 2.0180075863168e-05 2.63553745526999e-06 2.10848550183303e-05 8.01166936059049e-06 8.06905497245426e-06 0 1.30837027460269e-05 3.07869640605296e-07 1.81150887820501e-06 1.16232924138091e-06 8.73848860171164e-06 0 4.29394178488425e-06 0.00025235006493398 1.32766179057891e-05 2.42831891644247e-06 4.21119485323362e-06 0.00046222531580865 1.40253315018588e-05 1.57434592334107e-05 2.06278959632067e-05
"p__Actinobacteria g__Lawsonella s__clevelandensis" 2.17193964744424e-07 1.28534510003765e-05 5.93627950093461e-06 2.1148111762003e-06 1.56191150990341e-06 1.65953558081164e-06 1.22618202721241e-06 0 0 3.5546645196493e-06 5.96867044881417e-06 1.12372492337601e-06 2.9974168261792e-06 0 5.77776352596108e-07 6.3611936652689e-07 1.22524694852247e-06 0.00120380402070543 8.65711230862873e-05 7.74704953618414e-07 2.31954894978942e-07 2.30609527336124e-06 2.45172732771283e-07 1.63875055102987e-06 1.00863187155678e-06 1.21670072617566e-07 9.69163166372364e-07 2.46295712484237e-06 0 1.16232924138091e-06 9.13082890627828e-05 1.20603548397601e-06 6.44091267732638e-06 8.35305092987042e-06 0 6.93805404697849e-07 1.55970179749393e-07 0 1.75316643773235e-06 1.46450783566611e-06 1.71899133026723e-06
"p__Firmicutes g__Lachnoclostridium s__sp. YL32" 0.0066491760366858 9.60228398263423e-05 0.00165218531070012 0.0148327088231845 0.0008464140464122 0.00150298605768841 0.00031905256348067 0.00988678350460585 0.000185231153941627 0.00511595216922415 0.00271311181724774 0.020012979022865 0.00202445532440143 4.21728996103646e-07 0.00178417337681678 0.00119081545413834 0.00104125569841935 0.00373179246418683 0.00482366265464548 0.0016139686533717 0.000714189121640162 0.000803838923857346 0.0893956173412635 0.000577568527540751 0.059682765103758 0.0021243594679027 9.15859192221884e-05 0.000466730375157629 0.00124903537152236 0.00270739689724511 0.000489712034700003 0.000697490521566126 0.0444583997552453 0.00210584810284628 0.00659276872588438 3.74654918536838e-05 0.107115016465772 0.0077019426151802 0.0198914264025112 0.025922520945208 0.000414706658426968
"p__Firmicutes g__Streptococcus s__gallolyticus" 1.08596982372212e-07 1.51217070592665e-06 2.13706062033646e-06 3.84511122945509e-07 1.49091553218052e-06 1.38294631734303e-05 1.71665483809738e-06 0 0.00024338512087679 1.00715494723397e-05 6.4953178413566e-06 2.24744984675201e-06 2.39793346094336e-06 1.68691598441458e-06 1.5888849696393e-06 7.37898465171192e-05 1.02103912376873e-06 0 3.7930646713064e-06 7.74704953618414e-07 2.31954894978942e-07 6.58884363817497e-07 7.35518198313849e-07 3.6416678911775e-07 7.86732859814291e-05 2.79841167020402e-06 1.69603554115164e-05 9.23608921815889e-07 0 1.3283762758639e-06 8.56015209963589e-06 8.04023655984006e-07 3.22045633866319e-06 1.18701250056053e-05 2.85518664640626e-07 9.9445441340025e-06 2.80746323548908e-06 0 1.31487482829926e-06 0 0
"p__Proteobacteria g__Desulfovibrio s__vulgaris" 2.06334266507203e-06 5.51942307663228e-05 5.60384784888227e-05 0.000123043559342563 7.02860179456533e-05 2.95028547699847e-06 0.000539274855568019 3.45667558373745e-07 1.25641286588313e-06 0.000123820814101117 1.35172830752556e-05 0.000157321489272641 0.000208620211102072 4.21728996103646e-07 1.44444088149027e-07 0.0003027928184668 6.63675430449674e-05 3.00951005176357e-05 2.61052097966382e-05 5.16469969078943e-05 5.10300768953672e-06 3.03086807356049e-05 9.56173657808004e-06 1.09250036735325e-06 1.00863187155678e-06 1.21670072617566e-07 0 0.00013484690258512 6.88373373717905e-05 8.30235172414938e-07 7.9181406921632e-05 0.000267739877442674 5.58212432034953e-05 1.75853703786746e-06 0 1.15634234116308e-07 1.91843321091754e-05 2.08454554188215e-05 1.79699559867566e-05 1.42789513977446e-05 3.18013396099437e-05
"p__Proteobacteria g__Campylobacter s__concisus" 5.75564006572724e-06 3.78042676481663e-06 2.13706062033646e-06 2.1148111762003e-06 7.80955754951703e-07 0.00012575591845706 3.67854608163724e-06 6.91335116747489e-07 3.41026349311136e-06 7.89925448810955e-07 1.40439304677981e-06 0 1.79845009570752e-06 0.0135041841842348 1.09777506993261e-05 3.18059683263445e-06 0.000559121024175756 0.000963043216564343 3.74844038105574e-05 1.13623393197367e-05 0.000764059424060635 3.95330618290498e-06 4.90345465542566e-07 3.6416678911775e-07 0.00159363835705972 1.21670072617566e-07 1.25991211628407e-05 5.54165353089533e-06 9.05754439102506e-07 3.15489365517677e-06 2.67504753113622e-06 8.04023655984006e-07 7.29970103430323e-05 1.75853703786746e-06 9.83611799686957e-05 4.62536936465233e-07 2.96343341523847e-06 6.07237179591755e-05 7.45095736036248e-06 8.05479309616361e-06 3.95368005961462e-05
"p__Actinobacteria g__Corynebacterium s__flavescens" 0 1.51217070592665e-06 1.42470708022431e-06 2.88383342209132e-06 3.12382301980681e-06 1.29074989618683e-06 0 3.45667558373745e-07 1.79487552269019e-07 7.89925448810955e-07 2.98433522440709e-06 5.61862461688003e-07 8.39276711330176e-06 0 0 5.72507429874201e-06 3.87994867032117e-06 0.000120380402070543 4.68555047631967e-06 1.03293993815789e-06 9.27819579915768e-07 6.58884363817497e-07 4.90345465542566e-07 2.00291734014762e-06 0 2.43340145235132e-07 3.39207108230327e-06 2.15508748423707e-06 2.71726331730752e-06 3.32094068965975e-07 3.38839353943921e-06 9.24627204381607e-06 0 4.30841574277527e-05 1.42759332320313e-07 2.7752216187914e-06 5.92686683047695e-06 0 0 3.66126958916528e-07 0
"p__Firmicutes g__Veillonella s__rodentium" 0.000244234613355105 0.00565249409875382 8.07334012127107e-06 4.2296223524006e-06 6.7446178836738e-06 0.00112885298063654 3.92378248707972e-06 2.59250668780309e-05 0.000515667737668891 5.07527100861038e-05 1.00063004583061e-05 8.98979938700805e-06 1.67855342266035e-05 0.00178349192452232 0.00330618073364308 2.41725359280218e-05 0.000649380882716912 0.00135427952329361 0.000280909907127927 0.000262108509307564 0.000517723325592999 7.57717018390121e-05 2.37817550788145e-05 3.6416678911775e-07 0.00710883743073221 0.000148437488593431 5.13656478177353e-05 2.03193962799496e-05 4.52877219551253e-05 1.69367975172647e-05 2.03303612366352e-05 8.04023655984007e-06 0.000147067506132286 0.00423411755292537 0.000383451566612361 0.000495145790486031 0.000157217941187388 0.000316307127876899 2.67357881754183e-05 0.000417018606205925 0.000976816823424351
"p__Proteobacteria g__Neisseria s__cinerea" 2.17193964744424e-07 0 1.42470708022431e-06 1.92255561472755e-07 7.09959777228821e-08 1.16167490656815e-05 0 1.72833779186872e-06 2.15385062722823e-06 0 5.26647392542427e-07 1.68558738506401e-06 2.39793346094336e-06 2.7412384746737e-05 1.86332873712245e-05 1.27223873305378e-06 3.06311737130619e-06 0.000120380402070543 7.13988644010617e-06 2.32411486085524e-06 1.04379702740524e-05 6.58884363817497e-07 4.90345465542566e-07 0 5.04315935778391e-06 1.21670072617566e-07 6.10572794814589e-05 1.53934820302648e-06 1.81150887820501e-06 0 5.35009506227243e-07 0 7.51439812354744e-06 6.19884305848279e-05 6.5669292867344e-06 4.62536936465233e-07 4.6791053924818e-06 0.000109665221985974 5.25949931319705e-06 8.42092005508014e-06 1.07436958141702e-05
"p__Firmicutes g__unclassified s__unclassified taxa_id_186804" 9.33934048401023e-06 0 4.03667006063553e-06 2.49932229914581e-06 1.206931621289e-06 2.58149979237366e-06 6.62138294694703e-06 6.22201605072741e-06 1.79487552269019e-07 1.63909530628273e-05 2.98433522440709e-06 1.29228366188241e-05 3.17726183574995e-05 7.59112192986562e-06 5.54665298492264e-05 2.54447746610756e-06 2.20544450734045e-05 9.02853015529072e-05 7.58612934261281e-05 2.84058482993419e-06 6.72669195438932e-06 6.58884363817497e-07 1.6426573095676e-05 9.10416972794374e-07 0.000262244286604764 3.89344232376212e-06 1.93832633274473e-06 9.23608921815889e-07 0 0.000104609631724282 1.07001901245449e-05 7.23621290385606e-06 2.14697089244213e-06 3.20933009410811e-05 6.85244795137503e-06 4.62536936465233e-07 8.00127022114388e-05 3.62529659457764e-06 1.0080707016961e-05 1.68418401101603e-05 0
"p__Bacteroidetes g__Odoribacter s__splanchnicus" 0.000579582094920496 1.51217070592665e-06 0.00859264585201283 0.001404234620997 0.0484989142940107 0.00637095709473588 0.0420183152357041 0.000959227474487142 0.000301180112707414 0.000595208825679054 0.0114895150648364 0.00192606451866648 0.00416281248819767 0.000208755853071305 4.33332264447081e-07 0.00692924825957741 0.00242027113898139 3.00951005176357e-05 0.00138491484792934 0.00137690893756446 0.00159724140682499 0.00200300846600519 0.00387789711424338 0.00277039884821328 1.00863187155678e-06 2.17789429985443e-05 5.81497899823418e-06 0.0191165495941047 0.0184429718890052 0.000331595927862526 0.0175108611388177 0.0563873850296423 0.00358329441948591 3.51707407573491e-06 0.000794741203027183 4.11657873454057e-05 2.3395526962409e-06 0.000874602803441856 0.00351816674891939 0.000503424568510226 0.0274991340581174
