"CHPH-00787" "CHPH-00788" "CHPH-00794" "CHPH-00801" "CHPH-00805" "CHPH-00808" "CHPH-00816" "CHPH-00830" "CHPH-00856" "CHPH-00860" "CHPH-00862" "CHPH-00863" "CHPH-00881" "CHPH-00888" "CHPH-00892" "CHPH-00912" "CHPH-00917" "CHPH-00940" "CHPH-00956" "CHPH-00959" "CHPH-00963" "CHPH-00965" "CHPH-00989" "CHPH-01007" "CHPH-01015" "CHPH-01016" "CHPH-01018" "CHPH-01100" "CHPH-01111" "CHPH-01171" "CHPH-01176" "CHPH-01188" "CHPH-01189" "CHPH-01198" "CHPH-01206" "CHPH-01225" "CHPH-01275" "CHPH-01281" "CHPH-01283" "CHPH-01287" "CHPH-01298"
"isocaproyltaurine" -0.134126471792185 -0.895854449445992 -0.895854449445992 -0.895854449445992 -0.895854449445992 -0.895854449445992 -0.895854449445992 1.40940387423736 -0.895854449445992 -0.895854449445992 -0.462306805632609 -0.895854449445992 -0.895854449445992 1.5492277121805 0.0183675783878449 -0.634324859544082 -0.895854449445992 0 -0.728623128105925 -0.895854449445992 1.20287775413865 -0.895854449445992 1.02513375221899 -0.895854449445992 -0.313453100936994 -0.895854449445992 -0.895854449445992 -0.895854449445992 -0.895854449445992 -0.895854449445992 -0.895854449445992 -0.895854449445992 0.507828896045529 -0.895854449445992 -0.895854449445992 -0.895854449445992 0.702068473496749 1.24949675585067 1.52874063398956 1.74605007715228 -0.895854449445992
"taurine" 1.08296838149099 0.139280732718524 -2.11918640771921 -1.60205999132796 -1.70114692359029 -0.129947418306455 -2.19382002601611 0.57591491025193 0.459739181739559 -2.53760200210104 0.521033421820917 -1.33724216831843 -1.94692155651658 1.11881675270045 0.537151405048338 -0.0247520587593189 0.32095593690098 0.912445259486876 0.387941243706699 0.592354437456401 0.832930229391574 0.216403445233793 0.579143111643815 0.596509128341998 0.290746715612086 0.416557301191479 0.588932452323186 -1.47625353318844 0.0884904701823962 0.838074222768777 0.187295054693738 0.102605194126567 0.665562230591941 0.476150245679267 0.254040257561709 0.0598662204109395 0.545356605894617 0.715543750605142 0.991177325616664 1.18416598576779 -2.07572071393812
"2-acetamidobutanoate" 0.239199342054301 -0.0657541189769288 -0.542269451754002 0.864600066712202 -1.06348625752111 0.228990310840724 0.193514175028669 0.329824844312919 -0.388170520501626 -0.563519304990505 -0.308653235865178 0.154393537956997 -0.121880515302833 0.374143210780026 0.480811511500964 0.277861238225117 -0.182368532809485 0.393557655663294 0.719737212288928 0.460792637579859 0.400624321661767 0.0861105738013196 1.06209665697618 0.0346284566253203 0.796636767226257 -0.491335636947057 -0.86043573382415 -1.06348625752111 0.0800489675788517 0.857983450060864 0.499357113387459 -0.0939883747285872 0.69776969437521 -0.262171494104215 0.270492503638618 0.102982230518263 0.387674516274786 1.43229248233176 0.871555423318537 1.27411164526535 -0.485983819599351
"N1,N12-diacetylspermine" 0.954845277727485 -0.630042392653947 -1.80410034759077 0.354050785610767 -1.08144546944973 0.572499854279726 -0.882397308309916 0.216086692421913 0.22219604630172 0.135768514567822 -2.18708664335714 0.732739449293047 -1.38827669199266 1.5549710381845 0.320852219831754 0.163757523981956 0.125123272551998 0.764026607692037 0.0271864618367361 0.683578318422715 0.302374226075583 0.598571663482141 0.699239183477885 0.639366942225054 0.0541532403456938 0 0.495752416037327 -1.05601112492623 0.488677602194578 0.464459738965453 0.554452815848653 -0.607478910068068 0.813000206854504 -0.0683387603155188 0.826275698451497 0.762903528499057 0.694491126817085 0.935124192279941 1.09744473448892 1.08843378857413 -0.65266998468305
"3-sulfo-L-alanine" 0.947061029506004 -0.146545158631933 -0.695294101787235 -0.566550206238404 0.0273903846849694 0.288785612402505 -0.0788339493622613 0.420368379857524 0.127396390776607 -0.963770455913705 0.536507940276932 -0.312471038785366 -0.47134035476501 0.849726444196328 0.134495855834674 -0.205442248745238 -0.49390104007156 0.362765126555426 0.0470021305185055 0.107447409523609 0.703557892938103 -0.707965564005264 0.342896198385274 0.32319020106021 0.00328815882607545 0.244004828091453 0.00143081224639833 -0.640733835393252 -0.257274868695302 0.476063183637832 0.301832698184397 0.0549575960124065 0.45851698504883 0.094994900944612 0.245660697520259 0.394661772492929 0.0968405203313895 0.572267350134817 0.138839312414322 0.9304395947667 -0.293879890297296
"4-hydroxyphenylacetate" 0.324220702877004 0.91747925153495 -0.600845666041784 0.343290402353433 -0.37706103078851 -0.412850501745656 -0.771086594005312 0.7355430126213 0.201560978116737 0.239399593115788 -0.791021482723747 1.47063243312746 -0.30803489723264 1.30149444232494 1.467088417043 0.611553379615502 -0.0606305299253401 0.2819646232599 0.629083245916666 0.593928170682006 1.51705330979123 0.473078029844237 0.850921793043284 0.434951936087753 0.314372900009328 -0.441771578196674 0.327849154905208 -0.948847477552619 0.331993838042256 -0.282329496997738 0.244450309135429 0.110690697273754 0.628828111742239 1.15073188541456 0.654667373468406 0.126813010041553 1.46671344068198 0.900776647293041 0.900356202871695 1.59712232918806 -0.515415470717157
"oleoyl-arachidonoyl-glycerol (18:1/20:4) [2]*" 0.502904854199861 -0.307417437725091 0.155123393710712 -1.26042765554991 -1.26042765554991 -1.26042765554991 -0.254222782110241 0.690107439456331 -1.26042765554991 -0.432268037451931 -0.669180533504163 -1.26042765554991 -1.26042765554991 0.834484285334805 0.228323349308016 -1.26042765554991 0.0874264570362855 0.540291926094344 -0.73969005420508 -1.26042765554991 0.470307565396138 0.18264286814233 0.821336630376162 0.123982236211463 0.327542831932522 -1.26042765554991 -0.151749285322958 -1.26042765554991 0.603479981788932 0.183981218914592 0.177536499929862 0.372193719275734 0.394451680826216 -0.645123577483766 -0.442492798094342 -0.5320960534772 0.00902574208691021 1.41393481155798 1.61612247334499 1.12402140712819 -1.26042765554991
"linoleoyl-docosahexaenoyl-glycerol (18:2/22:6) [2]*" 0.362953458944286 -1.05060999335509 -1.05060999335509 -1.05060999335509 -1.05060999335509 -1.05060999335509 -1.05060999335509 -0.219610671529047 -1.05060999335509 -1.05060999335509 -1.05060999335509 -1.05060999335509 -1.05060999335509 0.921577237984658 -0.124013228571512 -1.05060999335509 -0.507099988891297 0.79169766502939 -1.05060999335509 -1.05060999335509 0.101196985865345 0.117867626566016 0.482487690143469 -0.0131387297099552 0.0504184272451353 -1.05060999335509 -1.05060999335509 -1.05060999335509 -0.133122185662501 -1.05060999335509 -0.484921324924077 0.106462883796121 -0.734474664780926 -1.05060999335509 -0.649751981665837 -1.05060999335509 -0.457921853664374 0.634638463252274 1.12050483340535 0.30847904016173 -1.05060999335509
"linoleoyl-arachidonoyl-glycerol (18:2/20:4) [2]*" 0.953619574138239 -0.778846678045295 0.557049809044103 -0.424812155072339 -0.778846678045295 -0.356547323513813 0.180011119057718 1.02948523650635 -0.248797905411647 -0.13159069668504 -0.443094730944552 -0.778846678045295 -0.778846678045295 1.3068280373558 0.892461927252068 -0.00200236359199569 0.611021924445161 1.10499212875951 -0.0338113190438628 -0.778846678045295 0.962904178244199 0.338137628331908 1.13530124580958 0.778766065508379 0.943840626401261 -0.778846678045295 0.193541988566217 -0.161465729488131 0.862495127535894 0.424554976606713 0.749744043160131 1.00263251568728 0.676775889205724 -0.0562582341686862 0.393364585185002 -0.197226274708024 0.400088784732035 1.75807806418562 1.80615215110243 1.34353856725917 -0.244506271584881
"lanosterol" -0.148191485771763 -0.335734199852325 0.266208169807691 0.17617810926733 0.378143427967742 0.0157368744774502 0.509471352102549 -0.450996737974212 -0.251037138743839 0.00268431298972936 0.267617531686772 0.158121150337495 0.0136796972911926 -0.444663672004733 -0.0143041403101579 0.365506704077209 0.145009840142141 -0.768785352037399 -0.332640453816913 -0.0302580232371458 -0.451487743658964 0.0402066275747111 -0.151441427876237 -0.0211350156523431 0 -0.118957891806594 0.0202783941119274 0.00233888089205649 0.127558302004633 0.223366126439861 -0.136558171386291 -0.0733489229111111 -0.525638023967369 -0.291069464193384 -0.207538268653049 -0.316682738078117 -0.193616498175832 -0.450628847666823 -0.938547520912807 -0.119357873595715 -0.132473588800257
