"CHPH-00787" "CHPH-00830" "CHPH-00888" "CHPH-00892" "CHPH-00940" "CHPH-00959" "CHPH-00963" "CHPH-00989" "CHPH-01189" "CHPH-01206" "CHPH-01275" "CHPH-01281" "CHPH-01283" "CHPH-01287"
"adenosine 5'-monophosphate (AMP)" -0.494985759915893 -0.86518562967954 0.767845734738886 -0.86518562967954 0.34733001531695 -0.86518562967954 -0.86518562967954 -0.119357873595715 0.902693512358132 -0.86518562967954 -0.86518562967954 -0.86518562967954 1.44235275463351 0.634336177110813
"1-stearoyl-2-oleoyl-GPS (18:0/18:1)" -1.17263072694617 -1.17263072694617 1.03514144710322 -1.17263072694617 0.87196385807743 -1.17263072694617 -0.695940533782401 -1.17263072694617 0.715752716822859 -1.17263072694617 -1.17263072694617 0.395116622747174 1.88817780842547 0.939014778784906
"cytidine 5'-monophosphate (5'-CMP)" -0.146788665496683 -0.82131076022441 0.491067394653293 -0.358426746821825 0.653887558070978 0.188872260771338 -0.82131076022441 -0.104853810624008 1.03490105826229 -0.155895769302487 -0.82131076022441 -0.82131076022441 1.0670782989033 0.436496591295505
"stigmastadienone" -0.129830278863559 -0.149047600206507 -0.772113295386326 -0.436637590513393 -1.07520400420209 -0.211902366619703 -0.411728293157671 -0.620513186282726 -0.950007143079857 0.0597526942092988 0.189995339964318 -0.616184634019569 -1.50723961097316 -0.776244546342759
"1-palmitoyl-2-oleoyl-GPC (16:0/18:1)" -0.26440110030182 0.427551021207393 1.74018182740969 0.151124590050682 1.8498768098915 0.0950297966484517 0.7263359233343 0.475438727737103 1.71879637766217 0.0358298252528282 0.224973090428833 1.41930133700364 2.39232087079307 1.45753523075876
"1,2-dipalmitoyl-GPC (16:0/16:0)" -0.22242819530859 0.25377401967888 1.61514907595261 -0.192262077985899 1.80375951420498 0.898522244083601 0.632204133050827 0.992173399084077 1.45210858400412 0.260762844936168 0.495932670123044 1.36769502292065 1.82098130631487 1.554129218805
"delta-tocopherol" -0.248720896016658 -0.325874017257292 -2 -0.366632554882993 -1.26360349772336 0.275311354541812 -0.318397001269132 -0.780153613975639 -1.38090666937326 0.00117101494140069 0.143389568994656 -0.70071066591232 -1.61439372640169 -0.861381566100508
"flavin adenine dinucleotide (FAD)" -0.594482893023624 -0.594482893023624 0.408867203386819 -0.594482893023624 0.0306806639999014 -0.158327749926366 -0.594482893023624 -0.594482893023624 0.28189655024606 -0.594482893023624 -0.594482893023624 -0.162032981631345 0.434137588786734 0.444481994685612
"1-stearoyl-2-oleoyl-GPC (18:0/18:1)" -0.870954940112042 0.409696478217953 1.73587344029702 -0.0231458534237811 1.8771051581426 -0.870954940112042 0.619489860852332 -0.0419141514789149 1.83946547716386 -0.870954940112042 -0.0556160423591558 1.62065647981962 2.5595131890384 1.49779736960444
"1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0/18:1)*" -1.11407366019857 -0.775725985705742 0.963395841347033 -1.11407366019857 0.500346269917085 -1.11407366019857 -0.255785275185834 -1.11407366019857 0.51881652453741 -1.11407366019857 -1.11407366019857 0.517604918925932 1.08007425012114 0.659231432875228
